new entry "NRT_raiton_raikiri"
type "SpellData"
data "SpellType" "Rush"
data "Level" "3"
data "Cooldown" "3"
data "TargetRadius" "9"
data "HitRadius" "1"
data "MovementSpeed" "40000"
data "SpellRoll" "Attack(AttackType.MeleeWeaponAttack)"
data "SpellSuccess" "DealDamage(3d6,Lightning,Magical);DealDamage(MainMeleeWeapon,MainMeleeWeaponDamageType)"
data "TargetConditions" "not Ally()"
data "Requirements" "!Immobile"
data "CycleConditions" "Enemy()"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "eae21eb0-bde7-4c86-a197-12a2a0c3ecac,,;7bfeb9dd-1348-45c7-bff9-ed42f8cd43a1,,;b780092c-cc12-43d5-b60e-acbac3fdceed,,;abbeb7de-2128-4b16-95e5-7b9d7b1af2f9,,;e6a25c4b-816c-41e1-888a-50215d994b23,,;,,;0b07883a-08b8-43b6-ac18-84dc9e84ff50,,;,,;,,"
data "WeaponTypes" "Melee"
data "SpellFlags" "IsHarmful"
data "SpellAnimationIntentType" "Aggressive"
data "RechargeValues" "3-4"
data "VerbalIntent" "Damage"
data "Icon" "Action_Rush"
data "DisplayName" "h37fda7f5geebag0310g7d46g0226c9ab6358;1"
data "Description" "h78f11df6g2b41g6ae6g74a6g84ed1e52582f;1"
data "TooltipDamageList" "DealDamage(3d6,Lightning)"
data "CastSound" "Action_Cast_Rush"
data "CastTextEvent" "Cast"
