new entry "NRT_raiton_raikiri"
type "SkillData"
data "SkillType" "Rush"
data "ForGameMaster" "Yes"
data "Ability" "Air"
data "Tier" "Adept"
data "Requirement" "MeleeWeapon"
data "ActionPoints" "2"
data "Cooldown" "4"
data "Damage Multiplier" "100"
data "Damage Range" "10"
data "DamageType" "Air"
data "SkillProperties" "SHOCKED,100,2"
data "TargetRadius" "12"
data "HitRadius" "1"
data "DeathType" "Physical"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "Yes"
data "UseCharacterStats" "No"
data "Icon" "Skill_Air_BlindingRadiance"
data "DisplayName" "NRT_raiton_raikiri_DisplayName"
data "DisplayNameRef" "Lightning Cutter"
data "Description" "NRT_raiton_raikiri_Description"
data "DescriptionRef" "Focus lightning chakra in your hand and dash through the target in an instant."
data "PrepareAnimationInit" "skill_prepare_dash_01_start"
data "PrepareAnimationLoop" "skill_prepare_dash_01_loop"
data "CastAnimation" "skill_cast_dash_01_cast"
data "CastEffect" "RS3_FX_Skills_Air_Cast_Hand_01:Dummy_FX"
data "Magic Cost" "0"
