new entry "NRT_doujutsu_susanoo"
type "SkillData"
data "SkillType" "Summon"
data "ForGameMaster" "Yes"
data "Ability" "None"
data "Tier" "Master"
data "ActionPoints" "4"
data "Cooldown" "6"
data "Lifetime" "10"
data "SummonLevel" "-1"
data "Template" "13f9314d-e744-4dc5-acf2-c6bf77a04892"
data "TemplateAdvanced" "13f9314d-e744-4dc5-acf2-c6bf77a04892"
data "TemplateOverride" "13f9314d-e744-4dc5-acf2-c6bf77a04892"
data "TargetRadius" "13"
data "SummonCount" "1"
data "FXScale" "150"
data "Icon" "Skill_Summoning_SummonIncarnate"
data "DisplayName" "NRT_doujutsu_susanoo_DisplayName"
data "DisplayNameRef" "|Susanoo|"
data "Description" "NRT_doujutsu_susanoo_Description"
data "DescriptionRef" "|Summon a colossal chakra avatar to guard you and crush your enemies.|"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "CastAnimation" "skill_cast_summon_totem_01_cast"
data "CastTextEvent" "cast"
data "CastEffectTextEvent" "cast"
data "PrepareEffect" "RS3_FX_Skills_Voodoo_Prepare_Voodoo_Blood_Root_01,KeepRot;"
data "TargetCastEffect" "RS3_FX_Skills_Totem_Impact_Summon_Blood_01"
data "Magic Cost" "0"
