new entry "NRT_doujutsu_kamui"
type "SkillData"
data "SkillType" "Teleportation"
data "ForGameMaster" "Yes"
data "Ability" "None"
data "Tier" "Master"
data "ActionPoints" "4"
data "Cooldown" "6"
data "Damage Multiplier" "100"
data "Damage Range" "10"
data "DamageType" "Physical"
data "TargetRadius" "13"
data "AreaRadius" "13"
data "HitRadius" "1"
data "Height" "5"
data "Acceleration" "20000"
data "TeleportDelay" "500"
data "TeleportSelf" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "No"
data "UseCharacterStats" "No"
data "DeathType" "Physical"
data "TargetConditions" "!Grounded;AllowDead;NonSelf"
data "Icon" "Skill_Air_Teleport"
data "DisplayName" "NRT_doujutsu_kamui_DisplayName"
data "DisplayNameRef" "|Kamui|"
data "Description" "NRT_doujutsu_kamui_Description"
data "DescriptionRef" "|Warp the fabric of space, sucking the target into another dimension and dropping them from on high.|"
data "PrepareAnimationInit" "skill_prepare_divine_01_start"
data "PrepareAnimationLoop" "skill_prepare_divine_01_loop"
data "CastAnimation" "skill_cast_aoe_divine_01_cast"
data "CastTextEvent" "cast"
data "PrepareEffect" "RS3_FX_Skills_Air_FreeFall_Prepare_01:root;RS3_FX_Skills_Air_FreeFall_Prepare_Hand_01:Dummy_L_HandFX"
data "CastEffect" "RS3_FX_Skills_Voodoo_Attack_Precision_Blood_Hand_01:Dummy_FX"
data "DisappearEffect" "RS3_FX_Skills_Air_FreeFall_Disappear_01,Detach;RS3_FX_Skills_Air_FreeFall_Disappear_Overlay_01"
data "ReappearEffect" "RS3_FX_Skills_Air_FreeFall_Reappear_01"
data "Magic Cost" "0"
