new entry "NRT_doton_doryusou"
type "SkillData"
data "SkillType" "Zone"
data "ForGameMaster" "Yes"
data "Ability" "Earth"
data "Tier" "Adept"
data "ActionPoints" "3"
data "Cooldown" "3"
data "Damage Multiplier" "150"
data "Damage Range" "10"
data "DamageType" "Earth"
data "SkillProperties" "IMPALED,100,2"
data "TargetRadius" "13"
data "AreaRadius" "3"
data "DeathType" "Physical"
data "TargetConditions" "!Dead;"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "Yes"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Icon" "Skill_Earth_FossilStrike"
data "DisplayName" "NRT_doton_doryusou_DisplayName"
data "DisplayNameRef" "|NRT_doton_doryusou_DisplayName|"
data "Description" "NRT_doton_doryusou_Description"
data "DescriptionRef" "|NRT_doton_doryusou_Description|"
data "StatsDescriptionParams" "Damage"
data "PrepareAnimationInit" "skill_prepare_geo_01_start"
data "PrepareAnimationLoop" "skill_prepare_geo_01_loop"
data "CastAnimation" "skill_cast_zone_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Earth_Cast_Hand_01:Dummy_FX"
data "Magic Cost" "0"
