new entry "NRT_fuuton_daihakki"
type "SkillData"
data "SkillType" "Shout"
data "ForGameMaster" "Yes"
data "Ability" "Air"
data "Tier" "Novice"
data "ActionPoints" "2"
data "Cooldown" "3"
data "Damage Multiplier" "100"
data "Damage Range" "10"
data "DamageType" "Air"
data "SkillProperties" "KNOCKED_DOWN,100,1"
data "AddWeaponRange" "No"
data "DeathType" "Physical"
data "TargetConditions" "!Dead;!Ally"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "Yes"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Icon" "Skill_Air_BlindingRadiance"
data "DisplayName" "NRT_fuuton_daihakki_DisplayName"
data "DisplayNameRef" "Wind Breakthrough"
data "Description" "NRT_fuuton_daihakki_Description"
data "DescriptionRef" "Take a deep breath and blast a gale of wind that pushes enemies back."
data "PrepareAnimationInit" "skill_prepare_voodoo_01_start"
data "PrepareAnimationLoop" "skill_prepare_voodoo_01_loop"
data "CastAnimation" "skill_cast_shout_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Air_Cast_Hand_01:Dummy_FX"
data "Magic Cost" "0"
